"codigoEvento";"tipoEvento";"codigoTCE";"naturezaEvento"
"1818";"VENCIMENTO";"N";"N"
"1819";"VENCIMENTO";"N";"N"
"1820";"VENCIMENTO";"N";"N"
"1821";"VENCIMENTO";"N";"N"
"1822";"DESCONTO";"N";"N"
"1823";"DESCONTO";"98";"D"
"1824";"DESCONTO";"N";"N"
"1825";"DESCONTO";"N";"N"
"1826";"DESCONTO";"98";"D"
"1827";"VENCIMENTO";"N";"N"
"1828";"VENCIMENTO";"N";"N"
"1829";"VENCIMENTO";"N";"N"
"1830";"VENCIMENTO";"N";"N"
"1831";"DESCONTO";"N";"N"
"1832";"VENCIMENTO";"N";"N"
"1833";"VENCIMENTO";"N";"N"
"1834";"DESCONTO";"N";"N"
"1835";"VENCIMENTO";"N";"N"
"1836";"DESCONTO";"N";"N"
"1837";"VENCIMENTO";"N";"N"
"1838";"DESCONTO";"N";"N"
"1839";"INFORMATIVO_MENOS";"N";"N"
"1840";"VENCIMENTO";"N";"N"
"1841";"VENCIMENTO";"N";"N"
"1842";"VENCIMENTO";"N";"N"
"1843";"INFORMATIVO_MENOS";"N";"N"
"1844";"INFORMATIVO_MENOS";"N";"N"
"1845";"VENCIMENTO";"60";"G"
"1846";"VENCIMENTO";"N";"N"
"1847";"VENCIMENTO";"N";"N"
"1848";"DESCONTO";"N";"N"
"1849";"VENCIMENTO";"N";"N"
"1850";"VENCIMENTO";"N";"N"
"1851";"VENCIMENTO";"N";"N"
"1852";"VENCIMENTO";"N";"N"
"1853";"VENCIMENTO";"N";"N"
"1854";"VENCIMENTO";"N";"N"
"1855";"VENCIMENTO";"N";"N"
"1856";"DESCONTO";"N";"N"
"1857";"VENCIMENTO";"N";"N"
"1858";"VENCIMENTO";"N";"N"
"1859";"VENCIMENTO";"N";"N"
"1860";"VENCIMENTO";"N";"N"
"1861";"VENCIMENTO";"N";"N"
"1862";"VENCIMENTO";"N";"N"
"1863";"INFORMATIVO_MENOS";"N";"N"
"1864";"INFORMATIVO_MENOS";"N";"N"
"1865";"INFORMATIVO_MENOS";"N";"N"
"1866";"VENCIMENTO";"N";"N"
"1867";"VENCIMENTO";"N";"N"
"1868";"VENCIMENTO";"N";"N"
"1869";"VENCIMENTO";"N";"N"
"1870";"VENCIMENTO";"N";"N"
"1871";"VENCIMENTO";"N";"N"
"1872";"VENCIMENTO";"N";"N"
"1873";"VENCIMENTO";"N";"N"
"1874";"VENCIMENTO";"N";"N"
"1875";"VENCIMENTO";"29";"G"
"1876";"VENCIMENTO";"24";"G"
"1877";"VENCIMENTO";"24";"G"
"1878";"VENCIMENTO";"N";"N"
"1879";"VENCIMENTO";"N";"N"
"1880";"DESCONTO";"N";"N"
"1881";"VENCIMENTO";"N";"N"
"1882";"VENCIMENTO";"23";"G"
"1883";"VENCIMENTO";"23";"G"
"1884";"VENCIMENTO";"23";"G"
"1885";"VENCIMENTO";"24";"G"
"1886";"VENCIMENTO";"24";"G"
"1887";"VENCIMENTO";"23";"G"
"1888";"VENCIMENTO";"23";"G"
"1889";"VENCIMENTO";"23";"G"
"1890";"VENCIMENTO";"N";"N"
"1891";"VENCIMENTO";"N";"N"
"1892";"VENCIMENTO";"N";"N"
"1893";"VENCIMENTO";"N";"N"
"1894";"VENCIMENTO";"N";"N"
"1895";"VENCIMENTO";"N";"N"
"1896";"DESCONTO";"71";"D"
"1897";"DESCONTO";"N";"N"
"1898";"VENCIMENTO";"N";"N"
"1899";"VENCIMENTO";"N";"N"
